dive_num,PTT,argos_date,depth,temp,lat_argos,lon_argos,gps_date,lat_gps,lon_gps
29,161297,2018-07-26 20:00:00,53,7.780,38.557516956329415,-74.21580085754401,2018-07-26 19:55:55,38.55723190307621,-74.2154083251953
30,161297,2018-07-25 12:00:00,2,23.610,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,8,23.610,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,14,22.359,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,17,19.873,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,18,17.929,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,19,17.627,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,20,14.613,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,25,10.831,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,33,9.248,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
30,161297,2018-07-25 12:00:00,46,8.540,38.540867110446854,-74.26031145418878,2018-07-25 12:11:34,38.541160583496094,-74.260139465332
31,161297,2018-08-13 20:00:00,2,27.140,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,7,26.597,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,11,24.542,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,14,20.942,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,15,17.478,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,16,17.410,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,18,13.556,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,20,12.147,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,23,10.822,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
31,161297,2018-08-13 20:00:00,36,10.160,38.45807175279753,-74.53579633952083,2018-08-13 21:45:33,38.4540481567383,-74.5047378540039
32,161297,2018-07-13 08:00:00,2,22.710,38.68084182474895,-74.45345449096094,2018-07-13 06:47:53,38.68431854248049,-74.44793701171879
32,161297,2018-07-13 08:00:00,4,22.710,38.68084182474895,-74.45345449096094,2018-07-13 06:47:53,38.68431854248049,-74.44793701171879
32,161297,2018-07-13 08:00:00,5,22.729,38.68084182474895,-74.45345449096094,2018-07-13 06:47:53,38.68431854248049,-74.44793701171879
32,161297,2018-07-13 08:00:00,6,22.730,38.68084182474895,-74.45345449096094,2018-07-13 06:47:53,38.68431854248049,-74.44793701171879
33,161297,2018-06-21 20:00:00,2,22.210,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,5,17.268,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,7,15.382,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,8,15.382,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,9,14.008,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,13,12.575,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,20,11.245,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,26,8.613,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,34,7.590,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
33,161297,2018-06-21 20:00:00,58,7.634,37.95967273798468,-74.39667760408811,2018-06-21 19:56:44,37.959869384765604,-74.3957214355469
34,161297,2018-07-11 16:00:00,2,22.530,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,15,20.315,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,19,16.961,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,20,16.711,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,22,13.217,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,24,10.955,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,26,9.426,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,28,8.568,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,33,7.351,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
34,161297,2018-07-11 16:00:00,44,6.930,38.67104816699395,-74.23246928561194,2018-07-11 16:24:45,38.66793823242191,-74.23583984375
35,161297,2018-07-01 08:00:00,2,23.040,38.51144671464512,-74.36627585831735,2018-07-01 07:08:45,38.5158195495605,-74.3620834350586
35,161297,2018-07-01 08:00:00,3,22.701,38.51144671464512,-74.36627585831735,2018-07-01 07:08:45,38.5158195495605,-74.3620834350586
35,161297,2018-07-01 08:00:00,4,22.304,38.51144671464512,-74.36627585831735,2018-07-01 07:08:45,38.5158195495605,-74.3620834350586
36,161297,2018-07-01 00:00:00,2,23.400,38.54642232597757,-74.36522170675134,2018-07-01 00:03:13,38.5465507507324,-74.3655471801758
36,161297,2018-07-01 00:00:00,4,22.761,38.54642232597757,-74.36522170675134,2018-07-01 00:03:13,38.5465507507324,-74.3655471801758
36,161297,2018-07-01 00:00:00,9,19.695,38.54642232597757,-74.36522170675134,2018-07-01 00:03:13,38.5465507507324,-74.3655471801758
36,161297,2018-07-01 00:00:00,11,17.810,38.54642232597757,-74.36522170675134,2018-07-01 00:03:13,38.5465507507324,-74.3655471801758
